customer_id,total_revenue,transactions,avg_purchase,clv
4010,1648.82,5,106.15599999999999,690.014
9171,1523.68,3,169.73999999999998,661.9859999999999
5621,1836.62,5,101.564,660.1659999999999
1553,1813.79,4,123.965,644.618
4330,1741.12,3,164.3033333333333,640.783
10370,892.36,4,122.59,637.4680000000001
4742,1510.14,4,119.15,619.58
11891,1086.26,4,118.61000000000001,616.772
4097,1329.75,4,117.3675,610.311
8152,1642.81,3,156.25666666666666,609.401
11938,1002.52,4,116.3075,604.7990000000001
11897,912.3800000000001,2,231.13,600.938
539,2028.9,4,115.1625,598.845
11175,1031.4,3,153.09666666666666,597.077
10207,1213.3899999999999,5,91.65599999999999,595.764
5241,1322.8,4,112.08,582.816
5021,1163.48,4,111.9975,582.3870000000001
1843,1905.66,7,63.82857142857143,580.84
1189,1900.3799999999999,3,148.57333333333332,579.436
4722,1093.0900000000001,3,146.94333333333333,573.079
11763,1886.56,3,146.86666666666665,572.7799999999999
3337,1586.63,4,108.39250000000001,563.6410000000001
6215,877.49,2,216.015,561.639
8169,1464.8600000000001,4,107.805,560.586
9591,652.09,3,141.53666666666666,551.993
8459,1406.73,3,140.18666666666667,546.7280000000001
11436,1429.08,6,69.87666666666667,545.038
2398,1464.73,6,68.24833333333333,532.337
4915,1902.6299999999999,2,203.755,529.763
2939,1159.1,3,135.47,528.333
1776,1497.1299999999999,4,100.95,524.94
8854,1895.48,2,201.88,524.888
5379,1354.5600000000002,4,99.13250000000001,515.489
4576,1687.46,2,198.255,515.463
3733,805.1600000000001,3,130.72666666666666,509.83399999999995
11840,1093.95,5,78.102,507.663
8191,1375.5,3,129.51666666666665,505.11499999999995
6008,781.66,4,96.6125,502.385
641,921.3499999999999,4,96.2975,500.747
2769,1269.91,4,96.10249999999999,499.733
11935,976.76,4,95.46000000000001,496.39200000000005
862,1482.5,4,95.21,495.092
11954,1325.94,3,126.75,494.325
1844,856.12,3,126.73666666666666,494.27299999999997
10474,584.38,2,188.435,489.93100000000004
9016,1113.01,4,94.065,489.138
9617,1070.1399999999999,4,93.765,487.57800000000003
6333,708.77,2,186.185,484.081
4889,369.67999999999995,2,184.83999999999997,480.58399999999995
5458,881.73,3,123.08333333333333,480.02500000000003
7463,1212.39,4,92.1075,478.959
9986,1153.11,3,121.74666666666667,474.812
4800,1433.2599999999998,2,182.07,473.382
2117,800.02,2,181.07,470.782
8516,1270.8,3,120.54666666666667,470.132
11559,1219.43,3,120.42999999999999,469.67699999999996
5209,803.8299999999999,3,120.3,469.16999999999996
6580,729.75,4,90.1625,468.84499999999997
4919,1079.56,2,179.44,466.544
1928,503.52000000000004,3,119.54,466.206
6757,1427.49,4,89.455,465.166
11708,1228.83,3,119.10666666666667,464.516
4562,433.85,2,178.45,463.96999999999997
